eamuse_id,difficulty,rating
6bO0Dq60bboi009iDbO8o9Q9999PiiDP.jpg,Beginner,2.30
8Pl1i1o0O6oIio0b681qOoDOQdPPOObb.jpg,Beginner,2.30
IPq86q6iq6DP9IOPiiP090PoI0Qb0Io8.jpg,Beginner,2.30
1qPbqd11l6b8ibq1ODQ6di90PIo0D618.jpg,Beginner,2.30
Po1D6bo0dQbdl91bPOl86lo8DbP9biiO.jpg,Beginner,2.35
1OQd9o01Oq6Q018POOdlqodQ6bqDPOob.jpg,Beginner,2.30
q1o901oPqbbI1Q61qo688bDd0Pqlb08l.jpg,Beginner,2.30
qOdib0OIO1qOdiQiOi9qIiQiO91idbQq.jpg,Beginner,2.35
Id8IPlqQodD01dPiq8oPPQoPQq6booi0.jpg,Beginner,2.30
1Q809666i9oblO8qO688OiD6OIbiP0Oq.jpg,Beginner,2.35
6loP1dbiOq0Q8i9QQOI6o0iOO6bdIQOO.jpg,Beginner,2.35
dPb99qdqOQ1ioQ9Dqb1I9Q1bI0l0POII.jpg,Beginner,2.30
1DD68qQdqQ0i6bQ61ddQ06ql1D6O1l6P.jpg,Beginner,2.35
8DO8obP1b669b9QI6q01609bPOdd1o1b.jpg,Beginner,2.35
lO990qi9qq9II1boI10ObdbbolQ1Ii0i.jpg,Beginner,2.35
1l01billdl6oPP96Pq8d0lbbblQI8i8l.jpg,Beginner,2.35
ObIOQ6id8DOdlQlil8819ObqoDQIIoiO.jpg,Beginner,2.30
bD1P1l6dDPdl0b99lPl0llD9i9blQIi1.jpg,Beginner,2.30
odliP8d18DQi0b8lPbPI1PdoQ0PDd0IP.jpg,Beginner,2.35
ODlO019O088Q0bl9QI1PPqQ01iD68191.jpg,Beginner,2.35
iIIDo60oO0lOdiQ9ibIPD0106I69098b.jpg,Beginner,2.35
l0QP6DiIDIId0oiQiOl8q10DlI96OPiO.jpg,Beginner,2.35
IQ9ddqDqq908QqQl196DQODQD9Q6oOiQ.jpg,Beginner,2.35
OqIlb9PQIo0Io90PIQi6q86dO8iP19Oi.jpg,Beginner,2.35
il0QbI6IOIidllO108olqd8i9Pb1Oq8Q.jpg,Beginner,2.35
qOQQ1qdQPPQ1bbdPldPlIil99IDoPi61.jpg,Beginner,2.35
Oq900IIl1Ob8qoIPqDP0PD6blbqIqlP1.jpg,Beginner,2.35
9qbdq1PiI1O81P1PdioQli66Ob9QiiQP.jpg,Beginner,2.35
blI8D10Q1IDQ8Q19bi0IDlD80oD0bloi.jpg,Beginner,2.35
loD6oi96869O8ilii1QPOPDoP91l1PQQ.jpg,Beginner,2.35
8Q08qIiIOq0P66q90b0lI0PbP6lb9bOI.jpg,Beginner,2.35
ibiD8868D116OIqbQ1DQ1IOb8OD1qQ98.jpg,Beginner,2.35
Q8P19lIP698I9Q8oolP98Qb6DIqQ10ql.jpg,Beginner,2.35
boDqoIDqDlP1io6bQ0O10diDbbqOD96I.jpg,Beginner,2.35
Oi1DI99DO6i6llQ8DDD6oDqOQqiP118d.jpg,Beginner,2.35
lq9iPP06O8qiP1iooiboPO910b86di19.jpg,Beginner,2.40
qPDQbQ6lOqqbI9Plb6o9lld0ddIP8oiP.jpg,Beginner,2.35
69b01qbo8Qdi6liOPq091bqo01i16oQ9.jpg,Beginner,2.35
i9Pidb18b9O8bdqQ91QQP0oPdIdIODq1.jpg,Beginner,2.40
PdPdbdQ1lDI18O90Q0li8QI0bo99bidd.jpg,Beginner,2.40
QO69qib8Q61lqbO8QI0dODo8D1b6Iqlq.jpg,Beginner,2.35
8q96ObOdqPq8blPob9QdDq9b1iQoIQOI.jpg,Beginner,2.40
iOl86b6I00IP9Q9I881oq9qOIDPqqDoO.jpg,Beginner,2.40
1idPoQOiI8611P01Oddo1D19lQO8dQdl.jpg,Beginner,2.40
9P16o1bO16PDDObloibo1Il8IIDdo869.jpg,Beginner,2.40
IPOq96Qo911IdQbdqIo0I816i6O86ioO.jpg,Beginner,2.40
6oIO00P8bdqqbP9qlqIqDP1Q1d9PD0qi.jpg,Beginner,2.40
DID6l8bbD0D6661lPiP6QIQ1dPbb010d.jpg,Beginner,2.40
8l0ld8Oq86P09lb91DdD9OliiPq9oq9D.jpg,Beginner,2.40
DbQbDQOl0lII16ib1081d6ddIodD0P9I.jpg,Beginner,2.40
bqqIiO96di90bdP0QD1biD8DoDQIddOD.jpg,Beginner,2.40
lPDqbq6OIb810i8bqIo1i1olol1OlP9l.jpg,Beginner,2.40
bdbQoi98Dlb18DiPDPdD801DoOD8619O.jpg,Beginner,2.40
90qP0000qoO8o8dIidlO611ilO11Oo9Q.jpg,Beginner,2.40
q11d0oiQIlbP91dqqddPq9D80lbODbDi.jpg,Beginner,2.40
olloQOobddiIIPObP91l0qPl6oo8P9Dl.jpg,Beginner,2.40
PIPdidPO68916i10dO8lPoI9Q9blPbID.jpg,Beginner,2.40
